County_Name,pop,med_age,med_inc,med_home_val,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,hispanic_total,male_pop,masters_plus,bachelors_plus,stem_fields
"Alamance County, North Carolina",179165,39.4,65633,265200,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140,11760,23628,19891
"Alexander County, North Carolina",36473,44.5,57006,223900,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281,1616,2009,5958
"Anson County, North Carolina",21897,44.5,50153,152100,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844,482,865,5176
"Ashe County, North Carolina",27063,50.5,55234,276500,,,,,1657.0,27063.0,13155,1527,4663,5121
"Beaufort County, North Carolina",44481,47.3,55103,230100,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387,2860,4367,7540
"Bladen County, North Carolina",29484,44.4,49457,122100,16792.0,9659.0,772.0,0.0,2812.0,29484.0,14397,756,2396,5334
"Brunswick County, North Carolina",159964,57.6,76221,360100,130646.0,13701.0,469.0,1143.0,9130.0,159964.0,77883,15928,29770,28844
"Buncombe County, North Carolina",275901,42.7,71525,426000,225024.0,12448.0,826.0,3393.0,23618.0,275901.0,133597,40300,59380,40110
"Burke County, North Carolina",88338,45.2,53739,212500,70693.0,4374.0,98.0,3178.0,7567.0,88338.0,44025,3395,9632,14143
"Cabarrus County, North Carolina",240016,38.1,85810,374400,136157.0,47039.0,694.0,16109.0,31100.0,240016.0,119901,24974,36482,26517
"Caldwell County, North Carolina",80574,45.8,55766,205400,69433.0,3340.0,195.0,536.0,5488.0,80574.0,40567,3708,6810,12274
"Carteret County, North Carolina",69615,50.4,78256,343000,59920.0,3950.0,48.0,325.0,3414.0,69615.0,34932,7000,13238,13367
"Caswell County, North Carolina",22807,50.8,58704,162300,,,,,,,12488,957,2269,4286
"Catawba County, North Carolina",164645,42.4,64214,257100,122895.0,14539.0,387.0,7830.0,19203.0,164645.0,80289,8857,20509,21563
"Chatham County, North Carolina",81624,47.9,97219,442800,58410.0,9140.0,34.0,2276.0,10965.0,81624.0,39474,14747,15557,10488
"Cherokee County, North Carolina",28159,54.8,57178,260300,26082.0,294.0,102.0,0.0,893.0,28159.0,14959,2354,2369,5438
"Cleveland County, North Carolina",101378,42.6,62186,228300,72991.0,17409.0,761.0,1211.0,5039.0,101378.0,49075,6441,12464,17003
"Columbus County, North Carolina",50121,42.8,52974,142800,30396.0,13948.0,1325.0,314.0,2919.0,50121.0,25365,1676,3819,8377
"Craven County, North Carolina",102391,39.0,59399,229500,66786.0,18044.0,64.0,3221.0,7942.0,102391.0,51272,5936,12168,17867
"Cumberland County, North Carolina",337890,32.1,61643,214600,144695.0,126319.0,4162.0,10467.0,44316.0,337890.0,167163,22488,38127,52352
"Currituck County, North Carolina",31593,41.7,86403,393800,27624.0,1445.0,0.0,50.0,1694.0,31593.0,15610,1245,5510,3889
"Dare County, North Carolina",38110,51.0,76671,463600,33725.0,1465.0,119.0,237.0,2800.0,38110.0,18539,3684,8907,4535
"Davidson County, North Carolina",174804,42.4,63189,232100,132623.0,14555.0,343.0,2686.0,16078.0,174804.0,85506,8245,20165,25685
"Davie County, North Carolina",44599,45.8,76991,271200,,,,,3745.0,44599.0,22532,2649,6441,6928
"Duplin County, North Carolina",49520,42.0,50155,150300,26094.0,11483.0,206.0,291.0,11681.0,49520.0,24422,2321,4058,8369
"Durham County, North Carolina",336892,36.0,81545,419200,145448.0,107365.0,2420.0,16953.0,51911.0,336892.0,162801,61954,72452,33908
"Edgecombe County, North Carolina",48832,41.3,50806,154200,17157.0,27766.0,108.0,53.0,3080.0,48832.0,23600,1629,2648,9243
"Forsyth County, North Carolina",392921,37.8,65062,267800,217004.0,102367.0,1155.0,9296.0,59974.0,392921.0,186353,40069,69488,44513
"Franklin County, North Carolina",77001,40.9,70548,290600,45828.0,18145.0,131.0,970.0,8934.0,77001.0,38251,4748,9192,11400
"Gaston County, North Carolina",237242,39.0,66906,284400,158969.0,44104.0,1110.0,3900.0,24179.0,237242.0,114494,14504,32225,32869
"Granville County, North Carolina",62192,42.6,75547,264600,34998.0,17406.0,200.0,308.0,7120.0,62192.0,32205,3831,8547,7242
"Greene County, North Carolina",19557,40.8,50947,123900,10362.0,4844.0,0.0,0.0,3657.0,19557.0,11007,667,1251,2825
"Guilford County, North Carolina",549866,37.8,65413,270000,256758.0,184039.0,2964.0,30334.0,56077.0,549866.0,261330,53893,84365,68074
"Halifax County, North Carolina",47298,44.4,50878,115400,17442.0,23887.0,1268.0,636.0,1680.0,47298.0,20805,1948,4151,9992
"Harnett County, North Carolina",141477,36.3,70664,285300,84646.0,25761.0,538.0,1332.0,22017.0,141477.0,70018,9659,16341,20250
"Haywood County, North Carolina",62969,47.9,66382,300900,56528.0,734.0,329.0,386.0,3191.0,62969.0,30875,5141,9421,10661
"Henderson County, North Carolina",119230,48.1,61974,372000,95328.0,3742.0,972.0,1708.0,15461.0,119230.0,58020,12920,21454,20597
"Hertford County, North Carolina",19453,42.7,51247,102500,7071.0,11077.0,388.0,151.0,1208.0,19453.0,9517,775,1810,3551
"Hoke County, North Carolina",54446,33.9,56349,230400,20089.0,18916.0,3789.0,1097.0,8595.0,54446.0,27588,2733,5705,8892
"Iredell County, North Carolina",199710,40.8,85298,356100,146651.0,21994.0,78.0,4336.0,19122.0,199710.0,99846,16187,33325,24546
"Jackson County, North Carolina",44574,37.9,50012,306900,35542.0,823.0,4037.0,138.0,3560.0,44574.0,21363,3566,5152,6340
"Johnston County, North Carolina",241955,38.6,79592,324500,154187.0,41096.0,2200.0,2694.0,40972.0,241955.0,120009,14731,36166,30300
"Lee County, North Carolina",67059,40.5,60140,241200,42739.0,12395.0,66.0,574.0,14609.0,67059.0,34121,3296,7146,12413
"Lenoir County, North Carolina",54895,42.3,49798,150500,27054.0,20251.0,540.0,425.0,5040.0,54895.0,25201,3201,5259,11684
"Lincoln County, North Carolina",95675,44.3,77776,350700,80103.0,5582.0,0.0,825.0,8014.0,95675.0,47408,5410,14683,14584
"McDowell County, North Carolina",44893,44.2,50500,170400,39664.0,1851.0,51.0,290.0,3179.0,44893.0,21688,1947,3084,7683
"Macon County, North Carolina",38412,50.1,58632,289000,,,,,3920.0,38412.0,18661,3082,5593,5894
"Madison County, North Carolina",22071,44.0,61786,293800,,,,,,,11315,1631,3796,3149
"Martin County, North Carolina",22080,43.1,51086,131200,,,,,2205.0,22080.0,9191,644,1530,3395
"Mecklenburg County, North Carolina",1163701,35.6,84593,441900,517381.0,343362.0,5266.0,72206.0,185549.0,1163701.0,562079,153077,256991,100179
"Montgomery County, North Carolina",26085,45.3,52254,153600,16852.0,2825.0,822.0,377.0,4150.0,26085.0,13415,1052,2004,4963
"Moore County, North Carolina",106898,44.0,78057,369100,82719.0,7837.0,569.0,2218.0,8355.0,106898.0,51558,13864,20452,16278
"Nash County, North Carolina",96551,42.0,66121,210800,44992.0,39384.0,931.0,953.0,8067.0,96551.0,47075,5341,10439,13622
"New Hanover County, North Carolina",238852,41.3,79547,394100,182524.0,25392.0,323.0,3399.0,18916.0,238852.0,114658,27678,50878,28841
"Onslow County, North Carolina",213676,27.8,67597,253100,142663.0,24355.0,1968.0,4255.0,30442.0,213676.0,118543,9372,18530,30356
"Orange County, North Carolina",150626,36.7,86381,470300,103975.0,16196.0,339.0,12189.0,15841.0,150626.0,70598,33365,25876,15710
"Pasquotank County, North Carolina",41444,41.8,61692,240200,22472.0,14151.0,0.0,0.0,2565.0,41444.0,21189,2400,4375,6419
"Pender County, North Carolina",68521,40.6,71487,315700,53166.0,6094.0,694.0,738.0,6055.0,68521.0,34651,5884,10608,8965
"Person County, North Carolina",39737,48.6,66274,183000,,,,,2590.0,39737.0,20588,3166,3346,7055
"Pitt County, North Carolina",175119,34.1,59946,224100,89820.0,61317.0,623.0,4042.0,14075.0,175119.0,82730,17122,20713,26257
"Polk County, North Carolina",20060,54.5,48504,342700,,,,,1409.0,20060.0,10121,2478,2379,3265
"Randolph County, North Carolina",147458,41.2,56310,215200,115471.0,14127.0,398.0,415.0,21016.0,147458.0,73364,6214,14672,21966
"Rowan County, North Carolina",151661,41.0,65904,273700,105505.0,22696.0,453.0,1272.0,18432.0,151661.0,77026,8826,17068,22328
"Richmond County, North Carolina",42324,42.0,51443,138900,23481.0,13370.0,759.0,194.0,3404.0,42324.0,21276,651,2525,9315
"Robeson County, North Carolina",117365,35.8,40996,87100,28449.0,27421.0,45508.0,1098.0,13077.0,117365.0,56942,3397,7147,23769
"Rockingham County, North Carolina",92518,43.8,59434,174900,67516.0,15569.0,338.0,124.0,6755.0,92518.0,45472,4223,8075,16804
"Rutherford County, North Carolina",65507,45.9,47557,207900,53176.0,5924.0,69.0,108.0,3899.0,65507.0,31371,3807,6154,13268
"Sampson County, North Carolina",59601,39.7,51480,171700,30275.0,14678.0,1011.0,138.0,13373.0,59601.0,30490,1784,4251,9768
"Scotland County, North Carolina",34376,37.7,40323,116600,13939.0,13201.0,4098.0,269.0,1484.0,34376.0,17742,1299,2111,6856
"Stanly County, North Carolina",65699,41.6,65456,235800,52649.0,5649.0,0.0,994.0,3913.0,65699.0,32579,1656,7249,10245
"Stokes County, North Carolina",45532,46.4,60005,212300,,,,,315.0,45532.0,22301,2815,5248,7931
"Surry County, North Carolina",71462,44.2,58291,181800,61333.0,1844.0,323.0,497.0,9015.0,71462.0,35448,3402,7700,10896
"Transylvania County, North Carolina",33549,51.8,58558,352700,29531.0,1168.0,172.0,499.0,1460.0,33549.0,16097,4363,5981,5594
"Union County, North Carolina",256452,39.9,98215,446600,171994.0,30749.0,550.0,12398.0,34825.0,256452.0,128367,24489,44602,24455
"Vance County, North Carolina",42301,38.4,39698,163100,15769.0,21253.0,0.0,132.0,4164.0,42301.0,20326,1421,4463,7547
"Wake County, North Carolina",1190275,37.7,102918,482100,682601.0,223887.0,3565.0,104741.0,137414.0,1190275.0,582915,193459,287025,109647
"Watauga County, North Carolina",54748,31.6,53656,400500,48892.0,1836.0,0.0,216.0,3191.0,54748.0,28264,7895,10439,8213
"Wayne County, North Carolina",118686,37.4,55461,181800,61724.0,35917.0,230.0,1883.0,16571.0,118686.0,57404,5454,12287,18058
"Wilkes County, North Carolina",66013,45.9,47022,182600,57395.0,2100.0,117.0,120.0,5022.0,66013.0,32731,2712,6174,12569
"Wilson County, North Carolina",78970,41.2,51247,212200,36971.0,30058.0,171.0,314.0,10011.0,78970.0,37719,4614,6712,14009
"Yadkin County, North Carolina",37774,43.6,60262,178700,30875.0,697.0,1076.0,70.0,4774.0,37774.0,18180,1034,3497,7061
